season,ccode,mdate,cum_points
2003_2004,ARS,2003-08-16,3
2003_2004,ARS,2003-08-24,6
2003_2004,ARS,2003-08-27,9
2003_2004,ARS,2003-08-31,12
2003_2004,ARS,2003-09-13,13
2003_2004,ARS,2003-09-21,14
2003_2004,ARS,2003-09-26,17
2003_2004,ARS,2003-10-04,20
2003_2004,ARS,2003-10-18,23
2003_2004,ARS,2003-10-26,24
2003_2004,ARS,2003-11-01,27
2003_2004,ARS,2003-11-08,30
2003_2004,ARS,2003-11-22,33
2003_2004,ARS,2003-11-30,34
2003_2004,ARS,2003-12-06,35
2003_2004,ARS,2003-12-14,38
2003_2004,ARS,2003-12-20,39
2003_2004,ARS,2003-12-26,42
2003_2004,ARS,2003-12-29,45
2003_2004,ARS,2004-01-07,46
2003_2004,ARS,2004-01-10,49
2003_2004,ARS,2004-01-18,52
2003_2004,ARS,2004-02-01,55
2003_2004,ARS,2004-02-07,58
2003_2004,ARS,2004-02-10,61
2003_2004,ARS,2004-02-21,64
2003_2004,ARS,2004-02-28,67
2003_2004,ARS,2004-03-13,70
2003_2004,ARS,2004-03-20,73
2003_2004,ARS,2004-03-28,74
2003_2004,ARS,2004-04-09,77
2003_2004,ARS,2004-04-11,78
2003_2004,ARS,2004-04-16,81
2003_2004,ARS,2004-04-25,82
2003_2004,ARS,2004-05-01,83
2003_2004,ARS,2004-05-04,84
2003_2004,ARS,2004-05-09,87
2003_2004,ARS,2004-05-15,90
