mid,season,mdate,mtime,hcc,acc,hcg,acg
4097,1992_1993,,,ARS,AVL,0,1
4098,1992_1993,,,ARS,BLB,0,1
4099,1992_1993,,,ARS,CHE,2,1
4100,1992_1993,,,ARS,COV,3,0
4101,1992_1993,,,ARS,CRY,3,0
4102,1992_1993,,,ARS,EVE,2,0
4103,1992_1993,,,ARS,IPS,0,0
4104,1992_1993,,,ARS,LEE,0,0
4105,1992_1993,,,ARS,LIV,0,1
4106,1992_1993,,,ARS,MCI,1,0
4107,1992_1993,,,ARS,MUN,0,1
4108,1992_1993,,,ARS,MID,1,1
4109,1992_1993,,,ARS,NOR,2,4
4110,1992_1993,,,ARS,NFO,1,1
4111,1992_1993,,,ARS,OLD,2,0
4112,1992_1993,,,ARS,QPR,0,0
4113,1992_1993,,,ARS,SHU,1,1
4114,1992_1993,,,ARS,SHW,2,1
4115,1992_1993,,,ARS,SOU,4,3
4116,1992_1993,,,ARS,TOT,1,3
4117,1992_1993,,,ARS,WIM,0,1
4118,1992_1993,,,AVL,ARS,1,0
4119,1992_1993,,,AVL,BLB,0,0
4120,1992_1993,,,AVL,CHE,1,3
4121,1992_1993,,,AVL,COV,0,0
4122,1992_1993,,,AVL,CRY,3,0
4123,1992_1993,,,AVL,EVE,2,1
4124,1992_1993,,,AVL,IPS,2,0
4125,1992_1993,,,AVL,LEE,1,1
4126,1992_1993,,,AVL,LIV,4,2
4127,1992_1993,,,AVL,MCI,3,1
4128,1992_1993,,,AVL,MUN,1,0
4129,1992_1993,,,AVL,MID,5,1
4130,1992_1993,,,AVL,NOR,2,3
4131,1992_1993,,,AVL,NFO,2,1
4132,1992_1993,,,AVL,OLD,0,1
4133,1992_1993,,,AVL,QPR,2,0
4134,1992_1993,,,AVL,SHU,3,1
4135,1992_1993,,,AVL,SHW,2,0
4136,1992_1993,,,AVL,SOU,1,1
4137,1992_1993,,,AVL,TOT,0,0
4138,1992_1993,,,AVL,WIM,1,0
4139,1992_1993,,,BLB,ARS,1,0
4140,1992_1993,,,BLB,AVL,3,0
4141,1992_1993,,,BLB,CHE,2,0
4142,1992_1993,,,BLB,COV,2,5
4143,1992_1993,,,BLB,CRY,1,2
