given_name	club_name	club_code
Arsenal	Arsenal	ARS
Aston Villa	Aston Villa	AVL
Barnsley	Barnsley	BAR
Birmingham	Birmingham City	BIR
Blackburn	Blackburn Rovers	BLB
Blackpool	Blackpool	BLP
Bolton	Bolton Wanderers	BOL
Bournemouth	Bournemouth	BOU
Bradford	Bradford City	BRA
Brentford	Brentford	BRE
Brighton	Brighton & Hove Albion	BHA
Burnley	Burnley	BUR
Cardiff	Cardiff City	CAR
Charlton	Charlton Athletic	CHA
Chelsea	Chelsea	CHE
Coventry	Coventry City	COV
Crystal Palace	Crystal Palace	CRY
Derby	Derby County	DER
Everton	Everton	EVE
Fulham	Fulham	FUL
Huddersfield	Huddersfield Town	HUD
Hull	Hull City	HUL
Ipswich	Ipswich Town	IPS
Leeds	Leeds United	LEE
Leicester	Leicester City	LEI
Liverpool	Liverpool	LIV
Luton	Luton Town	LUT
Man City	Manchester City	MCI
Man United	Manchester United	MUN
Middlesbrough	Middlesbrough	MID
Newcastle	Newcastle United	NEW
Norwich	Norwich City	NOR
Nott'm Forest	Nottingham Forest	NFO
Oldham	Oldham Athletic	OLD
Portsmouth	Portsmouth	POR
QPR	Queens Park Rangers	QPR
Reading	Reading	REA
Sheffield United	Sheffield United	SHU
Sheffield Weds	Sheffield Wednesday	SHW
Southampton	Southampton	SOU
Stoke	Stoke City	STK
Sunderland	Sunderland	SUN
Swansea	Swansea City	SWA
Swindon	Swindon Town	SWI
Tottenham	Tottenham Hotspur	TOT
Watford	Watford	WAT
West Brom	West Bromwich Albion	WBA
West Ham	West Ham United	WHU
Wigan	Wigan Athletic	WIG
Wimbledon	Wimbledon	WIM
Wolves	Wolverhampton Wanderers	WOL
